index,time_s,x_px,y_px
0,0.0000,91.00,156.00
1,0.1260,186.00,183.00
2,1.0900,69.00,160.00
3,1.2180,85.00,165.00
4,1.2480,106.00,172.00
5,1.3760,172.00,186.00
6,1.6070,360.00,219.00
7,2.1650,156.00,217.00
8,2.2910,83.00,165.00
9,2.5210,80.00,151.00
10,4.2060,389.00,220.00
11,5.2610,174.00,153.00
12,5.6900,408.00,222.00
13,6.0340,163.00,190.00
14,6.3710,82.00,136.00
15,6.5000,165.00,154.00
16,7.3520,153.00,192.00
17,7.5880,69.00,151.00
18,7.8280,169.00,171.00
19,8.7900,74.00,158.00
20,8.9160,73.00,147.00
21,9.1510,213.00,185.00
22,9.5900,407.00,236.00
23,9.7160,324.00,231.00
24,10.0510,78.00,151.00
25,10.4070,167.00,149.00
26,11.0390,318.00,227.00
27,11.7190,235.00,185.00
28,12.0690,421.00,226.00
29,12.5180,138.00,208.00
30,13.0910,279.00,202.00
31,14.0520,71.00,140.00
32,15.0060,229.00,213.00
33,15.8730,410.00,218.00
34,16.1190,321.00,243.00
35,16.2510,238.00,235.00
36,18.0800,151.00,149.00
37,18.9430,148.00,184.00
38,19.0900,80.00,164.00
39,19.8480,410.00,227.00
40,20.1950,179.00,218.00
41,21.0270,419.00,242.00
42,23.5650,386.00,215.00
43,24.0140,213.00,208.00
44,24.6590,257.00,192.00
45,25.1290,355.00,225.00
46,25.3550,174.00,199.00
47,25.4890,89.00,174.00
48,26.1590,396.00,216.00
49,26.9180,71.00,164.00
50,27.2710,277.00,213.00
51,28.2400,89.00,160.00
52,29.2800,133.00,181.00
53,29.4170,78.00,158.00
54,30.8810,113.00,162.00
55,31.1260,275.00,217.00
56,31.6700,279.00,236.00
57,31.8000,170.00,217.00
58,33.5270,161.00,174.00
59,33.5570,161.00,174.00
60,33.6840,272.00,197.00
61,33.8220,369.00,213.00
62,33.9650,412.00,224.00
63,34.8280,153.00,172.00
64,34.9610,256.00,194.00
65,35.1070,376.00,215.00
66,35.6580,181.00,186.00
67,36.1150,162.00,164.00
68,36.1450,162.00,164.00
69,36.7030,366.00,226.00
70,36.8350,272.00,219.00
71,36.9670,167.00,193.00
72,37.1180,89.00,153.00
73,38.1040,256.00,217.00
74,39.9370,117.00,179.00
75,39.9610,137.00,181.00
76,40.5190,380.00,224.00
77,40.9700,92.00,172.00
78,42.2650,80.00,149.00
79,42.2960,80.00,149.00
80,42.6300,210.00,186.00
81,42.7530,309.00,206.00
82,43.1170,361.00,224.00
83,43.2490,270.00,215.00
84,43.4900,103.00,177.00
85,43.8310,145.00,174.00
86,44.7340,135.00,204.00
87,45.2050,197.00,186.00
88,45.4450,371.00,217.00
89,45.5790,409.00,222.00
90,45.8130,305.00,219.00
91,46.2760,85.00,160.00
92,46.6110,297.00,204.00
93,46.9510,378.00,224.00
94,48.3480,304.00,217.00
95,48.4810,203.00,202.00
96,49.0380,178.00,190.00
97,49.7240,254.00,224.00
98,50.0690,83.00,161.00
99,50.9110,334.00,225.00
100,51.1640,137.00,185.00
101,51.1910,119.00,179.00
102,51.6330,229.00,194.00
103,51.9690,402.00,217.00
104,52.1070,368.00,219.00
105,52.4520,137.00,183.00
106,53.0040,270.00,201.00
107,54.0650,113.00,153.00
108,54.7300,355.00,224.00
109,55.0740,124.00,172.00
110,55.3050,94.00,147.00
111,55.9390,375.00,222.00
112,56.0900,297.00,218.00
113,56.2230,202.00,199.00
114,56.5710,82.00,149.00
115,57.6370,124.00,161.00
116,57.8710,85.00,151.00
117,58.0030,149.00,160.00
118,58.6610,300.00,219.00
119,59.9790,267.00,213.00
120,60.2040,110.00,160.00
121,61.0850,378.00,220.00
122,61.2140,307.00,218.00
123,61.7570,107.00,151.00
124,61.8860,183.00,186.00
125,62.0260,284.00,206.00
126,62.1540,370.00,218.00
127,62.1840,384.00,222.00
128,64.0910,135.00,169.00
129,64.3190,96.00,160.00
130,64.5470,227.00,195.00
131,64.8940,398.00,222.00
132,65.9570,339.00,224.00
133,66.0980,400.00,231.00
134,66.2280,395.00,232.00
135,66.3600,323.00,227.00
136,66.5950,149.00,195.00
137,67.0420,172.00,204.00
138,68.1000,89.00,160.00
139,68.8360,379.00,233.00
140,69.5110,106.00,154.00
141,69.7520,259.00,206.00
142,69.8840,345.00,219.00
143,70.2470,309.00,215.00
144,70.4880,153.00,185.00
145,70.7180,91.00,149.00
146,71.2870,389.00,219.00
147,72.0300,101.00,167.00
148,73.0100,174.00,190.00
149,73.3600,110.00,176.00
